latitude,longitude,landslide_susceptibility
7.99,72.421111,0.000576614590351594
7.99,72.671111,0.000570431965016804
7.99,72.921111,0.0005643228284181042
7.99,73.171111,0.0005582862390549988
7.99,73.421111,0.0005523212682786059
7.99,73.671111,0.0005464270009382965
7.99,73.921111,0.0005406025501948793
7.99,74.171111,0.0005348472701462713
7.99,74.421111,0.0005291631143517689
7.99,74.671111,0.0005235748876501389
7.99,74.921111,0.0005182633837069863
7.99,75.171111,0.0005142243706154888
7.99,75.421111,0.0005156749221293183
7.99,75.671111,0.0005365169642219869
7.99,75.921111,0.0006144494234261616
7.99,76.171111,0.0008438387573931203
7.99,76.421111,0.0014526911093657973
7.99,76.671111,0.0028144861980520606
7.99,76.921111,0.004624891829677325
7.99,77.171111,0.0048671719325122376
7.99,77.421111,0.0031606420781466484
7.99,77.671111,0.0016118675127716382
7.99,77.921111,0.0008761012700301669
7.99,78.171111,0.0005921226628314237
7.99,78.421111,0.0004887686020137185
7.99,78.671111,0.00045271590172485116
7.99,78.921111,0.00043967918154765495
7.99,79.171111,0.00043329970779261906
7.99,79.421111,0.0004284890787466711
7.99,79.671111,0.0004240035394137844
7.99,79.921111,0.0004196079397655971
7.99,80.171111,0.00041526738830639716
7.99,80.421111,0.00041097735259056724
7.99,80.671111,0.0004067368584130681
7.99,80.921111,0.0004025452629597309
7.99,81.171111,0.0003984019546528926
7.99,81.421111,0.00039430633131764105
7.99,81.671111,0.00039025779883760753
7.99,81.921111,0.0003862557709880827
7.99,82.171111,0.00038229966932360805
7.99,82.421111,0.0003783889230690508
7.99,82.671111,0.00037452296901233236
7.99,82.921111,0.0003707012513987178
7.99,83.171111,0.0003669232218266601
7.99,83.421111,0.00036318833914516054
7.99,83.671111,0.0003594960693526305
7.99,83.921111,0.00035584588549722966
7.99,84.171111,0.00035223726757865713
7.99,84.421111,0.0003486697024513779
7.99,84.671111,0.0003451426837292535
7.99,84.921111,0.00034165571169156647
7.99,85.171111,0.0003382082931904129
7.99,85.421111,0.0003347999415594385
7.99,85.671111,0.000331430176523904
7.99,85.921111,0.000328098524112057
7.99,86.171111,0.00032480451656778945
7.99,86.421111,0.00032154769226456673
7.99,86.671111,0.0003183275956205983
7.99,86.921111,0.0003151437770152437
7.99,87.171111,0.0003119957927066288
7.99,87.421111,0.00030888320475045246
7.99,87.671111,0.00030580558091996906
7.99,87.921111,0.0003027624946271294
7.99,88.171111,0.0002997535248448597
7.99,88.421111,0.00029677825603046407
7.99,88.671111,0.000293836278050132
7.99,88.921111,0.0002909271861045374
7.99,89.171111,0.00028805058065550483
7.99,89.421111,0.0002852060673537395
7.99,89.671111,0.00028239325696759253
7.99,89.921111,0.0002796117653128538
7.99,90.171111,0.0002768612131835542
7.99,90.421111,0.0002741412262837626
7.99,90.671111,0.0002714514351603622
7.99,90.921111,0.0002687914751367941
7.99,91.171111,0.00026616098624774687
7.99,91.421111,0.0002635596131747887
7.99,91.671111,0.0002609870051829175
7.99,91.921111,0.00025844281605802145
7.99,92.171111,0.0002559267040452348
7.99,92.421111,0.0002534383317881751
7.99,92.671111,0.00025097736626904937
7.99,92.921111,0.0002485434787496156
7.99,93.171111,0.0002461363447129887
7.99,93.421111,0.0002437556438062753
7.99,93.671111,0.00024140105978402544
7.99,93.921111,0.00023907228045249486
7.99,94.171111,0.00023676899761469647
7.99,94.421111,0.00023449090701623592
7.99,94.671111,0.00023223770829191952
7.99,94.921111,0.00023000910491311665
7.99,95.171111,0.00022780480413587452
7.99,95.421111,0.00022562451694976867
7.99,95.671111,0.00022346795802747805
7.99,95.921111,0.00022133484567507498
7.99,96.171111,0.00021922490178302275
7.99,96.421111,0.00021713785177786426
7.99,96.671111,0.0002150734245745951
7.99,96.921111,0.00021303135252971286
7.99,97.171111,0.0002110113713949257
8.24,72.421111,0.0005871034408345547
8.24,72.671111,0.000580814058230961
8.24,72.921111,0.000574599378265794
8.24,73.171111,0.0005684584445206936
8.24,73.421111,0.0005623903136701691
8.24,73.671111,0.0005563940571014684
8.24,73.921111,0.0005504687929215025
8.24,74.171111,0.0005446141391554458
8.24,74.421111,0.0005388352155933789
8.24,74.671111,0.0005331854643847764
8.24,74.921111,0.0005280476864443693
8.24,75.171111,0.000525527667066241
8.24,75.421111,0.0005346473301232335
8.24,75.671111,0.0005868712590284766
8.24,75.921111,0.0007852564317821865
8.24,76.171111,0.0015271140754566231
8.24,76.421111,0.004718985197603722
8.24,76.671111,0.018399894578932884
8.24,76.921111,0.05009451080894317
8.24,77.171111,0.055747485077191225
8.24,77.421111,0.023816168114513866
8.24,77.671111,0.006110951565576764
8.24,77.921111,0.001769992491393471
8.24,78.171111,0.0008011985483296608
8.24,78.421111,0.0005467839221667166
8.24,78.671111,0.00047260586226261446
8.24,78.921111,0.0004501195322563101
8.24,79.171111,0.00044168089076927357
8.24,79.421111,0.0004364535975961095
8.24,79.671111,0.0004318444429494232
8.24,79.921111,0.00042736697536265456
8.24,80.171111,0.00042294990038924986
8.24,80.421111,0.00041858457099476775
8.24,80.671111,0.0004142696407913393
8.24,80.921111,0.00041000443191394585
8.24,81.171111,0.00040578832157809653
8.24,81.421111,0.00040162069783827674
8.24,81.671111,0.00039750095698870753
8.24,81.921111,0.0003934285033396475
8.24,82.171111,0.0003894027491014118
8.24,82.421111,0.00038542311427377856
8.24,82.671111,0.000381489026537106
8.24,82.921111,0.0003775999211450486
8.24,83.171111,0.00037375524081884005
8.24,83.421111,0.00036995443564312013
8.24,83.671111,0.00036619696296328485
8.24,83.921111,0.0003624822872843275
8.24,84.171111,0.00035880988017116346
8.24,84.421111,0.0003551792201504015
8.24,84.671111,0.0003515897926135449
8.24,84.921111,0.00034804108972160737
8.24,85.171111,0.00034453261031111267
8.24,85.421111,0.0003410638598014581
8.24,85.671111,0.00033763435010362904
8.24,85.921111,0.00033424359953023835
8.24,86.171111,0.00033089113270686626
8.24,86.421111,0.0003275764804846939
8.24,86.671111,0.000324299179854397
8.24,86.921111,0.00032105877386129025
8.24,87.171111,0.0003178548115216966
8.24,87.421111,0.00031468684774053516
8.24,87.671111,0.0003115544432300891
8.24,87.921111,0.00030845716442995624
8.24,88.171111,0.0003053945834281541
8.24,88.421111,0.0003023662778833617
8.24,88.671111,0.0002993718309482832
8.24,88.921111,0.0002964108311941206
8.24,89.171111,0.00029348287253613
8.24,89.421111,0.0002905875541602518
8.24,89.671111,0.0002877244804507988
8.24,89.921111,0.00028489326091917964
8.24,90.171111,0.0002820935101336512
8.24,90.421111,0.00027932484765007975
8.24,90.671111,0.00027658689794369374
8.24,90.921111,0.00027387929034181817
8.24,91.171111,0.00027120165895757107
8.24,91.421111,0.00026855364262451425
8.24,91.671111,0.0002659348848322376
8.24,91.921111,0.0002633450336628629
8.24,92.171111,0.0002607837417284625
8.24,92.421111,0.000258250666109365
8.24,92.671111,0.00025574546829334967
8.24,92.921111,0.0002532678141157041
8.24,93.171111,0.00025081737370013986
8.24,93.421111,0.00024839382140054764
8.24,93.671111,0.0002459968357435897
8.24,93.921111,0.0002436260993721005
8.24,94.171111,0.00024128129898929996
8.24,94.421111,0.00023896212530379946
8.24,94.671111,0.00023666827297538586
8.24,94.921111,0.00023439944056158146
8.24,95.171111,0.00023215533046495865
8.24,95.421111,0.00022993564888120404
8.24,95.671111,0.00022774010574791906
8.24,95.921111,0.00022556841469414563
8.24,96.171111,0.0002234202929906092
8.24,96.421111,0.000221295461500662
8.24,96.671111,0.0002191936446319238
8.24,96.921111,0.00021711457028860654
8.24,97.171111,0.00021505796982451006
8.49,72.421111,0.0005980094861885766
8.49,72.671111,0.0005916090876480994
8.49,72.921111,0.0005852846542831802
8.49,73.171111,0.0005790352141599013
8.49,73.421111,0.0005728598087340402
8.49,73.671111,0.0005667574960877561
8.49,73.921111,0.0005607274081057163
8.49,74.171111,0.0005547695297545774
8.49,74.421111,0.0005488931236850421
8.49,74.671111,0.0005431879844483992
8.49,74.921111,0.0005382887736686163
8.49,75.171111,0.0005376750874741285
8.49,75.421111,0.0005564275792102491
8.49,75.671111,0.0006505693927553162
8.49,75.921111,0.001044319197217419
8.49,76.171111,0.003042698504713892
8.49,76.421111,0.01833308738198595
8.49,76.671111,0.14335551082144815
8.49,76.921111,0.46393312901622996
8.49,77.171111,0.5068624916741307
8.49,77.421111,0.2004690736021514
8.49,77.671111,0.02731392296710468
8.49,77.921111,0.003909689698402304
8.49,78.171111,0.0011234538387351206
8.49,78.421111,0.0006186494435876055
8.49,78.671111,0.000494872095227683
8.49,78.921111,0.0004612162770661512
8.49,79.171111,0.0004504289027722947
8.49,79.421111,0.0004447385706290544
8.49,79.671111,0.00043999735360125507
8.49,79.921111,0.0004354344146024434
8.49,80.171111,0.0004309377384944074
8.49,80.421111,0.0004264941138233658
8.49,80.671111,0.00042210178255102444
8.49,80.921111,0.0004177600282927944
8.49,81.171111,0.00041346821643133965
8.49,81.421111,0.00040922572484417946
8.49,81.671111,0.0004050319398499913
8.49,81.921111,0.00040088625591374076
8.49,82.171111,0.0003967880755261856
8.49,82.421111,0.00039273680909148644
8.49,82.671111,0.0003887318748166574
8.49,82.921111,0.00038477269860264044
8.49,83.171111,0.0003808587139369638
8.49,83.421111,0.00037698936178797625
8.49,83.671111,0.0003731640905006175
8.49,83.921111,0.0003693823556937111
8.49,84.171111,0.00036564362015875396
8.49,84.421111,0.00036194735376017897
8.49,84.671111,0.0003582930333370703
8.49,84.921111,0.0003546801426063067
8.49,85.171111,0.0003511081720671174
8.49,85.421111,0.00034757661890701596
8.49,85.671111,0.0003440849869091112
8.49,85.921111,0.00034063278636075413
8.49,86.171111,0.00033721953396351477
8.49,86.421111,0.00033384475274446184
8.49,86.671111,0.0003305079719687285
8.49,86.921111,0.000327208727053346
8.49,87.171111,0.000323946559482318
8.49,87.421111,0.0003207210167229316
8.49,87.671111,0.0003175316521432692
8.49,87.921111,0.00031437802493092015
8.49,88.171111,0.0003112597000128589
8.49,88.421111,0.00030817624797648316
8.49,88.671111,0.00030512724499178866
8.49,88.921111,0.000302112272734668
8.49,89.171111,0.00029913091831130893
8.49,89.421111,0.0002961827741836877
8.49,89.671111,0.0002932674380961266
8.49,89.921111,0.00029038451300291465
8.49,90.171111,0.0002875336069969625
8.49,90.421111,0.00028471433323948417
8.49,90.671111,0.000281926309890688
8.49,90.921111,0.00027916916004145964
8.49,91.171111,0.00027644251164602867
8.49,91.421111,0.00027374599745559196
8.49,91.671111,0.00027107925495289666
8.49,91.921111,0.00026844192628774975
8.49,92.171111,0.0002658336582134578
8.49,92.421111,0.0002632541020241688
8.49,92.671111,0.00026070291349311337
8.49,92.921111,0.00025817975281172277
8.49,93.171111,0.00025568428452961916
8.49,93.421111,0.00025321617749545915
8.49,93.671111,0.0002507751047986223
8.49,93.921111,0.0002483607437117252
8.49,94.171111,0.00024597277563395936
8.49,94.421111,0.0002436108860352303
8.49,94.671111,0.00024127476440109213
8.49,94.921111,0.00023896410417846434
8.49,95.171111,0.00023667860272211824
8.49,95.421111,0.00023441796124192403
8.49,95.671111,0.000232181884750844
8.49,95.921111,0.00022997008201366156
8.49,96.171111,0.00022778226549644045
8.49,96.421111,0.0002256181513166944
8.49,96.671111,0.00022347745919426405
8.49,96.921111,0.00022135991240288688
8.49,97.171111,0.0002192652377224522
8.74,72.421111,0.000609348804046435
8.74,72.671111,0.0006028329713908015
8.74,72.921111,0.0005963944168591382
8.74,73.171111,0.0005900321523971087
8.74,73.421111,0.0005837452038863571
8.74,73.671111,0.0005775326185481212
8.74,73.921111,0.0005713935690840378
8.74,74.171111,0.000565328590177702
8.74,74.421111,0.0005593518500064747
8.74,74.671111,0.0005535897880895651
8.74,74.921111,0.0005489049545127689
8.74,75.171111,0.0005499386336288083
8.74,75.421111,0.0005767768293642417
8.74,75.671111,0.0007070543506331768
8.74,75.921111,0.0012952387178358888
8.74,76.171111,0.005014866740579264
8.74,76.421111,0.046888836833546374
8.74,76.671111,0.4318934296104567
