latitude,longitude,landslide_susceptibility
29.74,79.671111,0.999496360820837
29.74,79.921111,0.999438018866368
32.24,78.421111,0.9990741366272036
32.24,78.171111,0.9990543701881744
25.99,94.421111,0.999036228358646
25.74,94.421111,0.9989676992536176
29.74,79.421111,0.9989368670004902
31.99,78.421111,0.9987765287688062
31.99,78.171111,0.998708947371269
25.74,94.171111,0.9986089940001502
29.99,79.671111,0.9985698547322772
29.49,79.921111,0.9982881823620514
25.49,94.171111,0.9981684850177324
17.490000000000002,73.671111,0.9981137462441628
23.74,92.921111,0.9980400345396276
29.99,79.421111,0.9980193395756032
29.99,79.921111,0.997964358842847
25.99,94.671111,0.9979034098986782
29.49,79.671111,0.9978786430382082
29.74,80.171111,0.9976467157027804
23.49,92.921111,0.9976466070296186
23.74,92.671111,0.9974897667932412
25.49,94.421111,0.9973900665724448
25.99,94.171111,0.997324587671968
26.24,94.671111,0.997188575092535
10.24,77.171111,0.997177437747206
29.74,79.171111,0.9971471785434416
26.24,94.421111,0.9968984446771414
17.240000000000002,73.671111,0.9968223382179918
29.99,79.171111,0.99645995525291
10.24,76.921111,0.9964326134104458
25.24,94.171111,0.9964027094666124
15.74,74.171111,0.9961736734718236
9.99,77.171111,0.9960381899530242
23.49,92.671111,0.9960303611286144
25.49,91.921111,0.9956395014816096
13.49,75.171111,0.9956392059610356
17.740000000000002,73.671111,0.9955743640347352
25.49,92.171111,0.995534467838732
15.49,74.171111,0.9954274608806736
25.74,94.671111,0.9953468848557856
32.24,77.921111,0.9951130851339788
11.24,76.421111,0.9948913374281596
23.99,92.921111,0.9947136943449782
25.49,93.921111,0.9946638969813076
9.99,76.921111,0.9946169168086308
29.49,80.171111,0.994473576817316
23.74,93.171111,0.994463519626046
25.74,91.921111,0.9944634567648392
25.24,93.921111,0.9943285691243264
32.49,75.921111,0.9942893448775564
11.49,76.421111,0.9942563785678288
13.74,75.171111,0.9941093149116198
32.49,76.171111,0.9939848287101324
23.99,92.671111,0.993978335147006
17.490000000000002,73.421111,0.9938664433877672
25.49,91.671111,0.9937570169644584
29.49,79.421111,0.9936874446662948
24.99,94.171111,0.9936770403177818
11.49,76.171111,0.9935727852094992
24.99,93.921111,0.9932334227775091
31.99,77.921111,0.9930786695423632
32.24,78.671111,0.9930190730560348
23.49,93.171111,0.9929024997229808
25.74,91.671111,0.9928734912551176
25.74,92.171111,0.9928081781211928
29.99,78.921111,0.9924464782361208
24.74,93.921111,0.9922755624570844
13.49,75.421111,0.9922169357405974
29.74,78.921111,0.9920665063402576
29.99,80.171111,0.991962734774878
28.24,95.421111,0.9919446943608888
25.74,93.921111,0.9917806634634782
25.24,94.421111,0.9917458531854548
25.49,92.421111,0.9916753581789352
23.24,92.921111,0.9915863291982292
