s_no,latitude,longitude,slide_name,state,state_normalized,district,subdivision_or_taluk,material_involved,movement_type,initiation_year_raw,history_date_raw,event_year,source_page
30955,32.602574,75.803366,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30956,32.603067,75.347139,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Slide,0,,,525
30957,32.603166,75.770332,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30958,32.603314,75.772838,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30959,32.605211,75.789678,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30960,32.605386,75.345886,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Slide,0,,,525
30961,32.605454,75.773655,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30962,32.606002,75.771179,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30963,32.606531,75.38445,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Slide,0,,,525
30964,32.606628,75.383711,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Flow,0,,,525
30965,32.606705,75.801923,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30966,32.608806,75.375667,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Flow,0,,,525
30967,32.608896,75.77641,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30968,32.608944,75.803977,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30969,32.608952,75.802151,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30970,32.609644,75.823298,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30971,32.61,76.05,,Himachal Pradesh,Himachal Pradesh,Chamba,Pukhri,Rock,Slide,0,,,525
30972,32.61,76.04,,Himachal Pradesh,Himachal Pradesh,Chamba,Chamba,Rock,Slide,0,,,525
30973,32.61,76.03,,Himachal Pradesh,Himachal Pradesh,Chamba,Pukhri,Rock,Slide,0,,,525
30974,32.61,76.02,,Himachal Pradesh,Himachal Pradesh,Chamba,Chamba,Debris,Slide,0,,,525
30975,32.61,76.04,,Himachal Pradesh,Himachal Pradesh,Chamba,Chamba,Debris,Slide,0,,,525
30976,32.61,76.04,,Himachal Pradesh,Himachal Pradesh,Chamba,Chamba,Rock,Slide,0,,,525
30977,32.61,76.04,,Himachal Pradesh,Himachal Pradesh,Chamba,Chamba,Rock,Slide,0,,,525
30978,32.61,76.24,,Himachal Pradesh,Himachal Pradesh,Chamba,Saho,Debris,Slide,0,,,525
30979,32.61,76.03,,Himachal Pradesh,Himachal Pradesh,Chamba,Pukhri,Rock,Slide,0,,,525
30980,32.61,76.03,,Himachal Pradesh,Himachal Pradesh,Chamba,Pukhri,Rock,Slide,0,,,525
30981,32.61,76.03,,Himachal Pradesh,Himachal Pradesh,Chamba,Pukhri,Rock,Slide,0,,,525
30982,32.61,76.26,,Himachal Pradesh,Himachal Pradesh,Chamba,Saho,Rock,Slide,0,,,525
30983,32.61,76.27,,Himachal Pradesh,Himachal Pradesh,Chamba,Saho,Rock,Slide,0,,,525
30984,32.61,76.26,,Himachal Pradesh,Himachal Pradesh,Chamba,Saho,Rock,Slide,0,,,525
30985,32.610061,75.345969,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Slide,0,,,525
30986,32.610288,75.808723,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30987,32.611144,75.370969,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Slide,0,,,525
