s_no,latitude,longitude,slide_name,state,state_normalized,district,subdivision_or_taluk,material_involved,movement_type,initiation_year_raw,history_date_raw,event_year,source_page
30643,32.47,76.29,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30644,32.47,76.29,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30645,32.47,76.29,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30646,32.47,76.32,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30647,32.47,76.46,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30648,32.47,76.43,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,520
30649,32.47,76.48,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,520
30650,32.47,76.46,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,520
30651,32.47,76.27,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,520
30652,32.47,76.26,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,520
30653,32.47,76.25,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,520
30654,32.47,76.44,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Fall,0,,,520
30655,32.47,76.44,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Fall,0,,,520
30656,32.47,76.31,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,520
