latitude,longitude,label,sample_type
12.486619,75.76079861,1,inventory_positive
25.176639,94.297361,1,inventory_positive
18.233180411161246,95.80700018554579,0,pseudo_background
8.502060265088396,87.99739298204167,0,pseudo_background
27.251722,88.182972,1,inventory_positive
27.370083,88.67925,1,inventory_positive
14.241386,74.456125,1,inventory_positive
10.7180158010455,86.5437175533768,0,pseudo_background
20.254622844101544,94.19442467272576,0,pseudo_background
26.551017928901697,81.56555076418142,0,pseudo_background
31.332722,76.773694,1,inventory_positive
11.869542,75.826903,1,inventory_positive
31.85431,76.79018,1,inventory_positive
26.18475792132603,84.8482293564881,0,pseudo_background
31.3637,77.7947,1,inventory_positive
24.784611,93.659528,1,inventory_positive
19.343983291941864,96.58409933784819,0,pseudo_background
25.827028,94.078139,1,inventory_positive
18.74056481403713,90.33575809462457,0,pseudo_background
30.584842,77.43347,1,inventory_positive
25.088639,93.619722,1,inventory_positive
30.184147,78.576355,1,inventory_positive
13.07799,75.461824,1,inventory_positive
23.740278,92.69722222,1,inventory_positive
25.212722,93.12891667,1,inventory_positive
27.097429,88.61226987,1,inventory_positive
24.264317,94.096472,1,inventory_positive
30.853806501414464,92.52477800918221,0,pseudo_background
26.701640784745162,90.83331197583693,0,pseudo_background
23.96658058415035,76.90206106893153,0,pseudo_background
9.761131,77.112451,1,inventory_positive
28.638336,95.856331,1,inventory_positive
31.192312,77.879547,1,inventory_positive
33.153234,75.510251,1,inventory_positive
29.38648717411465,78.3849439187516,0,pseudo_background
9.307139223641391,81.77631472694617,0,pseudo_background
10.099797674848215,78.76257535759203,0,pseudo_background
9.789688,77.091498,1,inventory_positive
30.592583,78.646889,1,inventory_positive
29.76765,79.106814,1,inventory_positive
26.881389,88.40133,1,inventory_positive
25.832742034501422,87.5504594373823,0,pseudo_background
27.092028,92.597028,1,inventory_positive
30.590556,78.619472,1,inventory_positive
30.790900196585653,84.31201850931714,0,pseudo_background
19.4376301137346,93.26412833026055,0,pseudo_background
24.225579,92.805884,1,inventory_positive
32.843883,75.969087,1,inventory_positive
13.7070140011866,77.08769157655973,0,pseudo_background
25.420806,93.371056,1,inventory_positive
11.718063612347825,93.29870902066597,0,pseudo_background
25.691111,94.05611111,1,inventory_positive
32.76713744092997,84.69300251444619,0,pseudo_background
29.200204410160985,73.396084563709,0,pseudo_background
30.597527157091513,88.51340626922655,0,pseudo_background
32.955278,75.159722,1,inventory_positive
32.46,76.46,1,inventory_positive
32.812651,75.811526,1,inventory_positive
10.262667,77.547083,1,inventory_positive
23.453267882676858,82.70116074989767,0,pseudo_background
32.627168538550904,77.61186264365249,0,pseudo_background
14.44859106790169,86.74738276089451,0,pseudo_background
34.325886214788284,84.62733240398026,0,pseudo_background
24.130104074140366,89.74936496558605,0,pseudo_background
17.91193109423047,79.89328000194563,0,pseudo_background
23.080278,92.858612,1,inventory_positive
13.343695675671404,96.4336610478446,0,pseudo_background
11.343086,76.159575,1,inventory_positive
30.908,77.19749,1,inventory_positive
15.252587362429484,82.61572475301668,0,pseudo_background
31.278333,77.509556,1,inventory_positive
26.516111,94.785833,1,inventory_positive
24.015858,92.797666,1,inventory_positive
16.343,73.892,1,inventory_positive
31.103139,77.203778,1,inventory_positive
30.295571,79.322059,1,inventory_positive
34.328435980864995,88.28286920910618,0,pseudo_background
16.365727004379227,89.1347827228077,0,pseudo_background
30.297652,78.605363,1,inventory_positive
9.64261594249806,90.07120356476084,0,pseudo_background
34.643066458949555,86.1650110581561,0,pseudo_background
12.262270741251788,76.68690553786824,0,pseudo_background
15.736966635091335,90.8644392500009,0,pseudo_background
29.4871,79.0883,1,inventory_positive
10.14,76.94,1,inventory_positive
12.898416236436148,76.2158067049801,0,pseudo_background
